C1;name;short_name;meta_group
B;Bread and small bakery products;Breads & small bakery;Grains
C;Cereals, grain and cereal products, rice;Cereals, grains etc;Grains
D;Ready-made bakery products, cakes, pastries;Cakes, pastries etc;Sweets
E;Eggs and egg products, pasta;Eggs, pasta etc;Grains
F;Fruit and fruit products (juices, jams, marmalades);Fruits etc;Plants
G;Vegetables and vegetable products;Veggies etc;Plants
H;Legumes (mature), nuts, oil- and other seeds;Legumes, nuts etc;Plants
K;Potatoes and potato products, starchy roots and tubers, mushrooms;Roots, mushrooms etc;Plants
M;Milk, dairy products, cheese;Milk, dairy, cheese;Dairy
S;Sweets, sugar, candy, chocolate, spread (sweet), ice cream;Sweets, sugar etc;Sweets
T;Deep-sea and fresh-water fishes, shellfish (crustaceans and mollusks);Fish & seafood;Animals
U;Meat (excluding variety meats), Beef, veal, pork, mutton, lamb;Red meat;Animals
V;Game, poultry, game birds, variety meats/giblets;Game & poultry;Animals
W;Sausages and other meat products;Sausages etc;Animals
