"category_code";"subcategory_code";"category_name";"subcategory_name";"n_prods";"n_choices"
"B";"B1";"Bread and small bakery products";"wholemeal bread";40;780
"B";"B2";"Bread and small bakery products";"brown bread";101;5050
"B";"B3";"Bread and small bakery products";"white bread";39;741
"B";"B4";"Bread and small bakery products";"wholemeal rolls";76;2850
"B";"B5";"Bread and small bakery products";"rolls";86;3655
"B";"B6";"Bread and small bakery products";"crispbread";147;10731
"B";"B7";"Bread and small bakery products";"special breads and rolls";52;1326
"B";"B8";"Bread and small bakery products";"bread products";14;91
"C";"C1";"Cereals, grain and cereal products, rice";"grain";37;666
"C";"C2";"Cereals, grain and cereal products, rice";"flour";37;666
"C";"C3";"Cereals, grain and cereal products, rice";"special grain";33;528
"C";"C4";"Cereals, grain and cereal products, rice";"special flour";21;210
"C";"C5";"Cereals, grain and cereal products, rice";"cereal products";71;2485
"C";"C6";"Cereals, grain and cereal products, rice";"convenience food (grain or flour)";3;3
"C";"C9";"Cereals, grain and cereal products, rice";"convenience food based on rice";4;6
"D";"D0";"Ready-made bakery products, cakes, pastries";"other and unspecified";41;820
"D";"D1";"Ready-made bakery products, cakes, pastries";"fruit cakes";26;325
"D";"D2";"Ready-made bakery products, cakes, pastries";"fruit tarts";18;153
"D";"D3";"Ready-made bakery products, cakes, pastries";"tarts";64;2016
"D";"D4";"Ready-made bakery products, cakes, pastries";"cakes";136;9180
"D";"D56";"Ready-made bakery products, cakes, pastries";"cakes, tarts, pastries (special) ";75;2775
"D";"D7";"Ready-made bakery products, cakes, pastries";"pastries, biscuits";128;8128
"D";"D8";"Ready-made bakery products, cakes, pastries";"bakery products";14;91
"E";"E1";"Eggs and egg products, pasta";"eggs";36;630
"E";"E3";"Eggs and egg products, pasta";"convenience food (eggs)";1;0
"E";"E45";"Eggs and egg products, pasta";"pastas";30;435
"E";"E67";"Eggs and egg products, pasta";"special pastas";43;903
"E";"E8";"Eggs and egg products, pasta";"pasta products";1;0
"E";"E9";"Eggs and egg products, pasta";"convenience food (pasta)";4;6
"F";"F0";"Fruit and fruit products (juices, jams, marmalades)";"other and unspecified";52;1326
"F";"F1";"Fruit and fruit products (juices, jams, marmalades)";"pomaceous fruit";59;1711
"F";"F2";"Fruit and fruit products (juices, jams, marmalades)";"stone fruit";124;7626
"F";"F3";"Fruit and fruit products (juices, jams, marmalades)";"berries";159;12561
"F";"F4";"Fruit and fruit products (juices, jams, marmalades)";"wild fruit";67;2211
"F";"F5";"Fruit and fruit products (juices, jams, marmalades)";"tropical fruit";465;107880
"F";"F6";"Fruit and fruit products (juices, jams, marmalades)";"citrus fruit";96;4560
"F";"F89";"Fruit and fruit products (juices, jams, marmalades)";"fruit products, convenience";50;1225
"G";"G0";"Vegetables and vegetable products";"other and unspecified";110;5995
"G";"G1";"Vegetables and vegetable products";"salad vegetables";38;703
"G";"G2";"Vegetables and vegetable products";"leafy vegetables";92;4186
"G";"G3";"Vegetables and vegetable products";"cabbages";95;4465
"G";"G4";"Vegetables and vegetable products";"stalk and leek vegetables";110;5995
"G";"G5";"Vegetables and vegetable products";"fruit vegetables";152;11476
"G";"G6";"Vegetables and vegetable products";"root and tuber vegetables";101;5050
"G";"G7";"Vegetables and vegetable products";"leguminous vegetables";92;4186
"G";"G8";"Vegetables and vegetable products";"vegetable products";38;703
"G";"G9";"Vegetables and vegetable products";"convenience food based on veg";51;1275
"H";"H09";"Legumes (mature), nuts, oil- and other seeds";"other and dishes";29;406
"H";"H1";"Legumes (mature), nuts, oil- and other seeds";"nuts";64;2016
"H";"H2";"Legumes (mature), nuts, oil- and other seeds";"other nuts";35;595
"H";"H3";"Legumes (mature), nuts, oil- and other seeds";"kernels";13;78
"H";"H4";"Legumes (mature), nuts, oil- and other seeds";"oilseeds";37;666
"H";"H5";"Legumes (mature), nuts, oil- and other seeds";"oleaginous fruit";11;55
"H";"H6";"Legumes (mature), nuts, oil- and other seeds";"sprouts, shoots";29;406
"H";"H7";"Legumes (mature), nuts, oil- and other seeds";"legumes (mature)";84;3486
"H";"H8";"Legumes (mature), nuts, oil- and other seeds";"nut and oilseed products";44;946
"K";"K1";"Potatoes and potato products, starchy roots and tubers, mushrooms";"potatoes";16;120
"K";"K2";"Potatoes and potato products, starchy roots and tubers, mushrooms";"potato products";18;153
"K";"K359";"Potatoes and potato products, starchy roots and tubers, mushrooms";"potatoes, starchy, shrooms prod";13;78
"K";"K4";"Potatoes and potato products, starchy roots and tubers, mushrooms";"starchy plants";31;465
"K";"K7";"Potatoes and potato products, starchy roots and tubers, mushrooms";"cultivated, wild mushrooms";106;5565
"K";"K8";"Potatoes and potato products, starchy roots and tubers, mushrooms";"mushroom products";15;105
"M";"M0";"Milk, dairy products, cheese";"other and unspecified";14;91
